iter	Passed	Remaining
0	0	821
1	1	600
2	1	563
3	2	545
4	2	533
5	3	521
6	4	627
7	4	607
8	5	608
9	6	608
10	6	613
11	7	616
12	8	622
13	8	617
14	9	608
15	9	600
16	10	592
17	10	586
18	11	579
19	11	580
20	12	573
21	12	567
22	13	565
23	13	567
24	14	568
25	15	569
26	15	563
27	16	558
28	16	553
29	17	553
30	17	546
31	17	539
32	18	531
33	18	524
34	18	517
35	19	514
36	19	516
37	20	513
38	20	511
39	21	509
40	21	508
41	22	509
42	22	509
43	23	507
44	23	505
45	24	508
46	25	508
47	25	505
48	25	503
49	26	501
50	26	499
51	27	497
52	27	495
53	28	494
54	28	492
55	29	490
56	29	489
57	30	489
58	31	495
59	31	495
60	32	494
61	32	495
62	33	493
63	33	492
64	34	492
65	35	498
66	35	498
67	36	499
68	36	496
69	37	497
70	37	495
71	38	493
72	38	491
73	39	489
74	39	489
75	40	487
76	40	485
77	40	484
78	41	482
79	41	481
80	43	496
81	44	495
82	44	495
83	45	492
84	45	490
85	45	488
86	46	486
87	46	484
88	47	483
89	47	481
90	47	479
91	48	478
92	49	483
93	50	485
94	52	502
95	53	503
96	53	502
97	54	501
98	54	499
99	55	499
100	56	501
101	56	499
102	57	498
103	57	497
104	58	495
105	58	492
106	58	490
107	59	488
108	59	487
109	59	485
110	60	484
111	60	482
112	61	480
113	61	479
114	62	477
115	62	475
116	62	474
117	63	472
118	63	471
119	64	473
120	64	470
121	66	476
122	67	481
123	67	480
124	68	478
125	68	478
126	69	476
127	69	475
128	70	476
129	71	475
130	71	474
131	71	472
132	72	472
133	72	471
134	73	473
135	74	473
136	75	473
137	75	472
138	76	470
139	76	469
140	76	468
141	77	466
142	77	465
143	78	463
144	78	462
145	78	461
146	79	460
147	80	463
148	81	466
149	82	469
150	83	469
151	83	467
152	84	467
153	84	465
154	85	464
155	85	461
156	85	460
157	86	459
158	86	458
159	87	456
160	87	455
161	88	455
162	88	455
163	89	454
164	89	453
165	90	452
166	90	451
167	90	449
168	91	448
169	91	447
170	92	446
171	92	445
172	92	444
173	93	442
174	93	441
175	95	445
176	96	449
177	97	448
178	97	447
179	98	447
180	98	446
181	99	445
182	99	443
183	99	442
184	100	441
185	100	440
186	101	439
187	101	438
188	101	437
189	102	437
190	103	438
191	104	438
192	104	437
193	105	436
194	105	435
195	105	434
196	106	433
197	106	432
198	107	431
199	107	429
200	109	434
201	112	443
202	113	446
203	114	448
204	115	449
205	116	449
206	118	453
207	121	460
208	122	465
209	124	467
210	126	472
211	126	472
212	128	474
213	128	472
214	129	471
215	129	470
216	130	469
217	130	467
218	130	466
219	131	465
220	131	464
221	132	462
222	132	461
223	135	469
224	136	471
225	138	472
226	139	473
227	140	474
228	140	474
229	142	475
230	143	477
231	144	477
232	145	478
233	145	476
234	147	479
235	148	480
236	149	482
237	150	480
238	150	479
239	150	477
240	151	476
241	151	475
242	152	473
243	152	472
244	153	472
245	153	471
246	154	470
247	154	469
248	155	468
249	156	469
250	157	468
251	157	468
252	158	467
253	158	466
254	159	465
255	160	465
256	160	464
257	161	463
258	161	461
259	161	460
260	162	459
261	162	458
262	163	457
263	163	456
264	164	456
265	165	455
266	165	455
267	166	454
268	166	452
269	167	451
270	167	450
271	168	449
272	168	449
273	169	448
274	169	447
275	170	447
276	171	447
277	172	447
278	172	446
279	173	445
280	173	445
281	174	443
282	174	443
283	175	441
284	175	441
285	176	440
286	176	439
287	177	439
288	178	439
289	179	440
290	180	439
291	180	438
292	181	437
293	181	436
294	184	440
295	184	439
296	185	438
297	186	438
298	189	444
299	191	447
300	193	448
301	194	449
302	195	448
303	196	449
304	199	454
305	201	455
306	202	456
307	202	455
308	204	456
309	205	457
310	206	457
311	208	459
312	209	460
313	210	460
314	211	459
315	213	461
316	213	460
317	214	459
318	214	458
319	215	457
320	215	456
321	216	454
322	216	453
323	217	453
324	218	454
325	219	453
326	219	452
327	220	451
328	220	450
329	221	449
330	221	448
331	222	447
332	223	448
333	224	447
334	224	446
335	225	445
336	225	443
337	226	442
338	226	441
339	227	440
340	228	440
341	229	440
342	229	439
343	229	438
344	230	437
345	231	436
346	232	436
347	232	436
348	233	435
349	234	434
350	234	434
351	235	433
352	235	432
353	236	431
354	236	430
355	237	428
356	237	428
357	238	427
358	238	425
359	239	424
360	239	423
361	239	422
362	240	422
363	240	421
364	241	419
365	241	418
366	242	417
367	242	416
368	243	415
369	243	414
370	244	413
371	244	413
372	246	413
373	246	412
374	247	411
375	247	410
376	248	409
377	248	409
378	249	408
379	250	407
380	250	406
381	251	406
382	252	406
383	252	405
384	253	404
385	253	403
386	254	402
387	254	401
388	255	400
389	255	399
390	256	398
391	256	397
392	256	396
393	257	395
394	257	394
395	258	394
396	259	394
397	260	393
398	260	392
399	261	391
400	261	391
401	262	390
402	262	389
403	263	388
404	264	387
405	264	387
406	264	386
407	265	385
408	265	384
409	266	383
410	266	382
411	267	381
412	267	380
413	268	379
414	268	378
415	269	377
416	269	377
417	270	376
418	270	375
419	271	375
420	272	374
421	273	374
422	273	373
423	274	372
424	275	372
425	275	371
426	276	370
427	276	369
428	277	368
429	277	367
430	278	367
431	278	366
432	278	365
433	279	364
434	279	363
435	280	363
436	281	362
437	281	361
438	282	360
439	282	359
440	283	358
441	283	358
442	284	357
443	284	356
444	285	355
445	285	354
446	285	353
447	286	352
448	286	351
449	287	351
450	287	350
451	288	349
452	288	348
453	289	348
454	289	347
455	290	346
456	291	345
457	291	345
458	292	344
459	292	343
460	293	342
461	293	341
462	293	340
463	294	340
464	294	339
465	295	338
466	295	337
467	296	336
468	296	335
469	296	334
470	297	333
471	298	333
472	299	333
473	299	332
474	300	331
475	300	331
476	301	330
477	301	329
478	302	329
479	303	328
480	303	327
481	304	326
482	304	326
483	305	325
484	305	324
485	306	324
486	307	324
487	308	323
488	309	322
489	309	322
490	310	321
491	310	320
492	310	319
493	311	318
494	311	318
495	312	317
496	312	316
497	313	315
498	313	314
499	314	314
500	314	313
501	314	312
502	315	311
503	315	310
504	316	310
505	316	309
506	317	308
507	317	307
508	318	307
509	318	306
510	319	305
511	319	304
512	320	304
513	321	303
514	321	303
515	322	302
516	322	301
517	323	301
518	325	301
519	326	301
520	327	300
521	327	300
522	328	299
523	328	298
524	329	297
525	329	297
526	330	296
527	330	295
528	331	294
529	331	294
530	332	293
531	333	293
532	333	292
533	334	291
534	334	291
535	335	290
536	336	289
537	336	289
538	337	288
539	338	288
540	338	287
541	339	286
542	339	285
543	340	285
544	340	284
545	340	283
546	341	282
547	342	282
548	342	281
549	343	280
550	343	279
551	343	279
552	344	278
553	345	278
554	346	277
555	347	277
556	348	276
557	348	276
558	349	275
559	349	274
560	350	274
561	351	273
562	352	273
563	352	272
564	353	272
565	353	271
566	354	270
567	354	269
568	355	268
569	355	268
570	356	267
571	356	266
572	356	266
573	357	265
574	358	264
575	358	263
576	359	263
577	359	262
578	360	261
579	360	261
580	361	260
581	362	260
582	363	259
583	363	259
584	364	258
585	365	258
586	365	257
587	366	256
588	367	256
589	367	255
590	368	254
591	369	254
592	369	253
593	370	253
594	370	252
595	371	251
596	371	250
597	372	250
598	372	249
599	373	248
600	374	248
601	374	247
602	375	246
603	375	246
604	376	245
605	377	245
606	377	244
607	378	244
608	379	243
609	379	242
610	380	241
611	380	241
612	381	240
613	381	239
614	382	239
615	382	238
616	383	237
617	383	237
618	384	236
619	385	235
620	385	235
621	386	234
622	386	234
623	387	233
624	387	232
625	388	231
626	388	231
627	389	230
628	389	229
629	390	229
630	390	228
631	391	227
632	391	227
633	392	226
634	393	225
635	393	225
636	394	224
637	394	224
638	395	223
639	396	222
640	396	222
641	397	221
642	397	220
643	398	220
644	398	219
645	399	218
646	400	218
647	401	218
648	401	217
649	402	216
650	402	215
651	403	215
652	403	214
653	404	214
654	405	213
655	405	212
656	406	212
657	406	211
658	407	210
659	408	210
660	409	210
661	410	209
662	410	208
663	411	208
664	411	207
665	412	207
666	414	206
667	415	206
668	415	205
669	416	204
670	416	204
671	417	203
672	418	203
673	418	202
674	419	201
675	419	201
676	420	200
677	421	200
678	421	199
679	422	198
680	422	198
681	423	197
682	423	196
683	424	196
684	425	195
685	425	194
686	426	194
687	426	193
688	427	192
689	427	192
690	428	191
691	428	190
692	429	190
693	430	189
694	430	189
695	431	188
696	431	187
697	432	187
698	432	186
699	433	185
700	434	185
701	434	184
702	435	183
703	435	183
704	436	182
705	437	182
706	437	181
707	438	180
708	439	180
709	439	179
710	440	178
711	440	178
712	441	177
713	441	176
714	442	176
715	442	175
716	443	174
717	443	174
718	444	173
719	444	172
720	445	172
721	445	171
722	446	170
723	446	170
724	447	169
725	447	169
726	448	168
727	449	167
728	450	167
729	450	166
730	451	166
731	451	165
732	452	164
733	453	164
734	453	163
735	454	162
736	454	162
737	455	161
738	455	160
739	456	160
740	456	159
741	457	159
742	458	158
743	459	157
744	459	157
745	460	156
746	460	155
747	460	155
748	461	154
749	461	153
750	462	153
751	463	152
752	463	152
753	464	151
754	465	150
755	465	150
756	466	149
757	466	149
758	467	148
759	467	147
760	468	147
761	468	146
762	469	145
763	469	145
764	470	144
765	470	143
766	471	143
767	471	142
768	472	141
769	472	141
770	473	140
771	474	140
772	475	139
773	476	139
774	476	138
775	477	137
776	477	137
777	478	136
778	479	135
779	479	135
780	480	134
781	481	134
782	481	133
783	482	132
784	482	132
785	483	131
786	483	130
787	484	130
788	484	129
789	485	128
790	485	128
791	486	127
792	486	127
793	487	126
794	488	126
795	489	125
796	489	124
797	490	124
798	490	123
799	491	122
800	491	122
801	492	121
802	492	120
803	493	120
804	493	119
805	494	119
806	495	118
807	495	117
808	496	117
809	496	116
810	497	115
811	497	115
812	498	114
813	498	113
814	499	113
815	499	112
816	500	112
817	500	111
818	501	110
819	502	110
820	502	109
821	503	108
822	503	108
823	504	107
824	504	107
825	505	106
826	505	105
827	505	105
828	506	104
829	507	103
830	507	103
831	508	102
832	509	102
833	511	101
834	511	101
835	512	100
836	512	99
837	513	99
838	513	98
839	514	97
840	514	97
841	515	96
842	515	96
843	516	95
844	516	94
845	517	94
846	518	93
847	518	93
848	519	92
849	520	91
850	520	91
851	521	90
852	521	89
853	522	89
854	522	88
855	523	88
856	526	87
857	527	87
858	528	86
859	530	86
860	532	86
861	533	85
862	534	84
863	535	84
864	537	83
865	537	83
866	538	82
867	539	82
868	539	81
869	543	81
870	545	80
871	546	80
872	547	79
873	549	79
874	550	78
875	551	78
876	552	77
877	554	77
878	555	76
879	556	75
880	556	75
881	559	74
882	560	74
883	561	73
884	561	73
885	563	72
886	563	71
887	564	71
888	565	70
889	565	69
890	566	69
891	567	68
892	567	68
893	568	67
894	568	66
895	569	66
896	570	65
897	570	64
898	571	64
899	571	63
900	572	62
901	572	62
902	573	61
903	573	60
904	574	60
905	575	59
906	575	59
907	576	58
908	576	57
909	577	57
910	578	56
911	579	55
912	579	55
913	580	54
914	581	54
915	582	53
916	582	52
917	583	52
918	583	51
919	584	50
920	585	50
921	585	49
922	586	48
923	587	48
924	587	47
925	588	47
926	588	46
927	589	45
928	589	45
929	590	44
930	591	43
931	592	43
932	592	42
933	593	41
934	593	41
935	594	40
936	595	40
937	595	39
938	596	38
939	597	38
940	597	37
941	598	36
942	599	36
943	599	35
944	600	34
945	600	34
946	601	33
947	602	33
948	602	32
949	603	31
950	604	31
951	604	30
952	605	29
953	605	29
954	606	28
955	606	27
956	607	27
957	609	26
958	609	26
959	610	25
960	611	24
961	611	24
962	612	23
963	612	22
964	613	22
965	614	21
966	615	20
967	615	20
968	616	19
969	616	19
970	617	18
971	617	17
972	618	17
973	618	16
974	619	15
975	620	15
976	621	14
977	622	13
978	622	13
979	623	12
980	624	12
981	624	11
982	625	10
983	625	10
984	626	9
